"","id","release_year_tv","age_rating_tv","rotten_tomatoes_tv","tomato_category_tv","netflix_tv","hulu_tv","prime_video_tv","disney_tv","all_platforms_tv"
"215",929,2021,"16+",53,"rotten","netflix_show","","","","netflix_show"
"216",932,2020,"18+",53,"rotten","netflix_show","","","","netflix_show"
"217",935,2021,"18+",53,"rotten","netflix_show","","","","netflix_show"
"218",937,2020,"unknown",53,"rotten","netflix_show","","","","netflix_show"
"219",946,2021,"unknown",53,"rotten","netflix_show","","","","netflix_show"
"220",950,2020,"unknown",53,"rotten","netflix_show","","","","netflix_show"
"221",951,2020,"18+",53,"rotten","netflix_show","","","","netflix_show"
"222",952,2020,"unknown",53,"rotten","netflix_show","","","","netflix_show"
"223",953,2021,"18+",53,"rotten","netflix_show","","","","netflix_show"
"224",954,2020,"18+",53,"rotten","netflix_show","","","","netflix_show"
"225",955,2021,"7+",53,"rotten","netflix_show","","","","netflix_show"
"226",959,2020,"18+",53,"rotten","netflix_show","","","","netflix_show"
"227",964,2020,"16+",53,"rotten","netflix_show","","","","netflix_show"
"228",966,2021,"unknown",53,"rotten","netflix_show","","","","netflix_show"
"229",970,2020,"unknown",53,"rotten","netflix_show","","","","netflix_show"
"230",971,2020,"18+",53,"rotten","netflix_show","","","","netflix_show"
"231",972,2021,"7+",53,"rotten","netflix_show","","","","netflix_show"
"232",974,2021,"18+",53,"rotten","netflix_show","","","","netflix_show"
"233",979,2020,"18+",52,"rotten","netflix_show","","","","netflix_show"
"234",980,2020,"all",52,"rotten","netflix_show","","","","netflix_show"
"235",981,2021,"7+",52,"rotten","netflix_show","","","","netflix_show"
"236",985,2020,"unknown",52,"rotten","netflix_show","","","","netflix_show"
"237",989,2020,"18+",52,"rotten","netflix_show","","","","netflix_show"
"238",991,2020,"unknown",52,"rotten","netflix_show","","","","netflix_show"
"239",992,2020,"unknown",52,"rotten","netflix_show","","","","netflix_show"
"240",995,2020,"7+",52,"rotten","netflix_show","","","","netflix_show"
"241",1008,2020,"16+",52,"rotten","netflix_show","","","","netflix_show"
"242",1010,2020,"18+",52,"rotten","netflix_show","","","","netflix_show"
